Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
10.200021,0.0000000019,-0.0000000075,0.004800
10.250021,0.0000000019,-0.0000000075,0.004800
10.300021,0.0000000019,-0.0000000075,0.004800
10.350021,0.0000000019,-0.0000000075,0.004800
10.400022,0.0000000019,-0.0000000075,0.004800
10.450022,0.0000000019,-0.0000000075,0.004800
10.500022,0.0000000019,-0.0000000075,0.004800
10.550022,0.0000000019,-0.0000000075,0.004800
10.600022,0.0000000019,-0.0000000075,0.004800
10.650023,0.0000000019,-0.0000000075,0.004800
10.700023,0.0000000019,-0.0000000075,0.004800
10.750023,0.0000000019,-0.0000000075,0.004800
10.800023,0.0000000019,-0.0000000075,0.004800
10.850023,0.0000000019,-0.0000000075,0.004800
10.900023,0.0000000019,-0.0000000075,0.004800
10.950024,0.0000000019,-0.0000000075,0.004800
11.000024,0.0000000019,-0.0000000075,0.004800
11.050024,0.0000000019,-0.0000000075,0.004800
11.100024,0.0000000019,-0.0000000075,0.004800
11.150024,0.0000000019,-0.0000000075,0.004800
11.200025,0.0000000019,-0.0000000075,0.004800
11.250025,0.0000000019,-0.0000000075,0.004800
11.300025,0.0000000019,-0.0000000075,0.004800
11.350025,0.0000000019,-0.0000000075,0.004800
11.400025,0.0000000019,-0.0000000075,0.004800
11.450026,0.0000000019,-0.0000000075,0.004800
11.500026,0.0000000019,-0.0000000075,0.004800
11.550026,0.0000000019,-0.0000000075,0.004800
11.600026,0.0000000019,-0.0000000075,0.004800
11.650026,0.0000000019,-0.0000000075,0.004800
11.700027,0.0000000019,-0.0000000075,0.004800
11.750027,0.0000000019,-0.0000000075,0.004800
11.800027,0.0000000019,-0.0000000075,0.004800
11.850027,0.0000000019,-0.0000000075,0.004800
11.900027,0.0000000019,-0.0000000075,0.004800
11.950027,0.0000000019,-0.0000000075,0.004800
12.000028,0.0000000019,-0.0000000075,0.004800
12.050028,0.0000000019,-0.0000000075,0.004800
12.100028,0.0000000019,-0.0000000075,0.004800
12.150028,0.0000000019,-0.0000000075,0.004800
12.200028,0.0000000019,-0.0000000075,0.004800
12.250029,0.0000000019,-0.0000000075,0.004800
12.300029,0.087000,0.011000,0.004800
12.350029,0.145000,0.033000,0.004800
12.400029,0.174000,0.041000,0.004800
12.450029,0.204000,0.039000,0.004800
12.500030,0.218000,0.039000,0.004800
12.550030,0.230000,0.039000,0.004800
12.600030,0.234000,0.037000,0.004800
12.650030,0.243000,0.037000,0.004800
12.700030,0.250000,0.039000,0.004800
12.750031,0.256000,0.041000,0.004800
12.800031,0.264000,0.039000,0.004800
12.850031,0.270000,0.040000,0.004800
12.900031,0.275000,0.040000,0.004800
12.950031,0.280000,0.038000,0.004800
13.000031,0.284000,0.036000,0.004800
13.050032,0.289000,0.034000,0.004800
13.100032,0.295000,0.035000,0.004800
13.150032,0.300000,0.034000,0.004800
13.200032,0.305000,0.032000,0.004800
13.250032,0.305000,0.032000,0.004800
13.300033,0.310000,0.030000,0.004800
13.350033,0.315000,0.028000,0.004800
13.400033,0.323000,0.028000,0.004800
13.450033,0.334000,0.029000,0.004800
13.500033,0.334000,0.029000,0.004800
13.550034,0.337000,0.029000,0.004800
13.600034,0.339000,0.028000,0.004800
13.650034,0.342000,0.027000,0.004800
13.700034,0.346000,0.025000,0.004800
13.750034,0.355000,0.025000,0.004800
13.800035,0.355000,0.025000,0.004800
13.850035,0.360000,0.024000,0.004800
13.900035,0.364000,0.022000,0.004800
13.950035,0.369000,0.020000,0.004800
14.000035,0.376000,0.017000,0.004800
14.050035,0.379000,0.016000,0.004800
14.100036,0.386000,0.013000,0.004800
14.150036,0.391000,0.012000,0.004800
14.200036,0.396000,0.010000,0.004800
14.250036,0.396000,0.010000,0.004800
14.300036,0.400000,0.008000,0.004800
14.350037,0.400000,0.008000,0.004800
14.400037,0.400000,0.008000,0.004800
14.450037,0.400000,0.008000,0.004800
14.500037,0.403000,0.007000,0.004800
14.550037,0.403000,0.007000,0.004800
14.600038,0.403000,0.007000,0.004800
14.650038,0.403000,0.007000,0.004800
14.700038,0.403000,0.007000,0.004800
14.750038,0.403000,0.007000,0.004800
14.800038,0.403000,0.007000,0.004800
14.850039,0.403000,0.007000,0.004800
14.900039,0.403000,0.007000,0.004800
14.950039,0.403000,0.007000,0.004800
15.000039,0.403000,0.007000,0.004800
15.050039,0.403000,0.007000,0.004800
15.100039,0.401000,0.007000,0.004800
15.150040,0.397000,0.009000,0.004800
15.200040,0.390000,0.007000,0.004800
15.250040,0.386000,0.008000,0.004800
15.300040,0.382000,0.006000,0.004800
15.350040,0.377000,0.007000,0.004800
15.400041,0.375000,0.008000,0.004800
15.450041,0.370000,0.010000,0.004800
15.500041,0.366000,0.008000,0.004800
15.550041,0.360000,0.006000,0.004800
15.600041,0.351000,-0.005000,0.004800
15.650042,0.346000,-0.012000,0.004800
15.700042,0.337000,-0.023000,0.004800
15.750042,0.330000,-0.035000,0.004800
15.800042,0.323000,-0.047000,0.004800
15.850042,0.318000,-0.055000,0.004800
15.900043,0.315000,-0.063000,0.004800
15.950043,0.313000,-0.068000,0.004800
16.000042,0.310000,-0.077000,0.004800
16.050041,0.307000,-0.086000,0.004800
16.100040,0.304000,-0.095000,0.004800
16.150040,0.301000,-0.104000,0.004800
16.200039,0.296000,-0.118000,0.004800
16.250038,0.296000,-0.118000,0.004800
16.300037,0.288000,-0.142000,0.004800
16.350037,0.281000,-0.161000,0.004800
16.400036,0.275000,-0.180000,0.004800
16.450035,0.268000,-0.218000,0.004800
16.500034,0.268000,-0.218000,0.004800
16.550034,0.267000,-0.229000,0.004800
16.600033,0.267000,-0.235000,0.004800
16.650032,0.267000,-0.247000,0.004800
16.700031,0.267000,-0.247000,0.004800
16.750031,0.266000,-0.252000,0.004800
16.800030,0.264000,-0.258000,0.004800
16.850029,0.266000,-0.259000,0.004800
16.900028,0.266000,-0.259000,0.004800
16.950027,0.266000,-0.259000,0.004800
17.000027,0.266000,-0.259000,0.004800
17.050026,0.266000,-0.259000,0.004800
17.100025,0.266000,-0.259000,0.004800
17.150024,0.266000,-0.259000,0.004800
17.200024,0.266000,-0.259000,0.004800
17.250023,0.267000,-0.254000,0.004800
17.300022,0.273000,-0.239000,0.004800
17.350021,0.279000,-0.218000,0.004800
17.400021,0.282000,-0.191000,0.004800
17.450020,0.288000,-0.165000,0.004800
17.500019,0.294000,-0.129000,0.004800
17.550018,0.296000,-0.109000,0.004800
17.600018,0.302000,-0.080000,0.004800
17.650017,0.302000,-0.065000,0.004800
17.700016,0.302000,-0.065000,0.004800
17.750015,0.307000,-0.042000,0.004800
17.800014,0.316000,-0.001000,0.004800
17.850014,0.316000,-0.001000,0.004800
17.900013,0.316000,0.013000,0.004800
17.950012,0.318000,0.035000,0.004800
18.000011,0.318000,0.044000,0.004800
18.050011,0.321000,0.061000,0.004800
18.100010,0.322000,0.079000,0.004800
18.150009,0.324000,0.104000,0.004800
18.200008,0.324000,0.104000,0.004800
18.250008,0.326000,0.112000,0.004800
18.300007,0.328000,0.124000,0.004800
18.350006,0.329000,0.132000,0.004800
18.400005,0.329000,0.140000,0.004800
18.450005,0.330000,0.157000,0.004800
18.500004,0.330000,0.157000,0.004800
18.550003,0.330000,0.165000,0.004800
18.600002,0.331000,0.173000,0.004800
18.650002,0.333000,0.180000,0.004800
18.700001,0.334000,0.188000,0.004800
18.750000,0.336000,0.194000,0.004800
18.799999,0.336000,0.199000,0.004800
18.849998,0.339000,0.209000,0.004800
18.899998,0.338000,0.210000,0.004800
18.949997,0.340000,0.217000,0.004800
18.999996,0.340000,0.221000,0.004800
19.049995,0.339000,0.225000,0.004800
19.099995,0.340000,0.232000,0.004800
19.149994,0.341000,0.239000,0.004800
19.199993,0.342000,0.242000,0.004800
